Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,119.809998,120.019997,118.639999,119.930000,119.930000,15116200
2019-04-09,118.629997,119.540001,118.580002,119.279999,119.279999,17612000
2019-04-10,119.760002,120.349998,119.540001,120.190002,120.190002,16477200
2019-04-11,120.540001,120.849998,119.919998,120.330002,120.330002,14209100
2019-04-12,120.639999,120.980003,120.370003,120.949997,120.949997,19745100
2019-04-15,120.940002,121.580002,120.570000,121.050003,121.050003,15792600
2019-04-16,121.639999,121.650002,120.099998,120.769997,120.769997,14071800
2019-04-17,121.239998,121.849998,120.540001,121.769997,121.769997,19300900
2019-04-18,122.190002,123.519997,121.300003,123.370003,123.370003,27991000
2019-04-22,122.620003,124.000000,122.570000,123.760002,123.760002,15648700
2019-04-23,124.099998,125.580002,123.830002,125.440002,125.440002,24025500
2019-04-24,125.790001,125.849998,124.519997,125.010002,125.010002,31257000
2019-04-25,130.059998,131.369995,128.830002,129.149994,129.149994,38033900
2019-04-26,129.699997,130.520004,129.020004,129.889999,129.889999,23654900
2019-04-29,129.899994,130.179993,129.350006,129.770004,129.770004,16324200
2019-04-30,129.809998,130.699997,129.389999,130.600006,130.600006,24166500
2019-05-01,130.529999,130.649994,127.699997,127.879997,127.879997,26821700
2019-05-02,127.980003,128.000000,125.519997,126.209999,126.209999,27350200
2019-05-03,127.360001,129.429993,127.250000,128.899994,128.899994,24911100
2019-05-06,126.389999,128.559998,126.110001,128.149994,128.149994,23033200
